2018-Jun-07 00:28:45.109288 INFO    [daemon] adina v3.0.3.LamdaDriver-v3()
2018-Jun-07 00:28:45.109568 INFO    [daemon] Module folder: ./adinad
2018-Jun-07 00:28:45.110962 INFO    [daemon] Initializing p2p server...
2018-Jun-07 00:28:45.331152 INFO    [node_server] Generated new peer ID: 7863397548735019458
2018-Jun-07 00:28:45.331282 INFO    [node_server] Binding on 0.0.0.0:15715
2018-Jun-07 00:28:45.331357 INFO    [node_server] Net service bound on 0.0.0.0:15715
2018-Jun-07 00:28:45.331396 INFO    [node_server] Attempting to add IGD port mapping.
2018-Jun-07 00:28:49.335277 INFO    [node_server] No IGD was found.
2018-Jun-07 00:28:49.335441 INFO    [daemon] P2p server initialized OK
2018-Jun-07 00:28:49.335500 INFO    [daemon] Initializing core...
2018-Jun-07 00:28:49.335744 INFO    [Blockchain] Blockchain not loaded, generating genesis block.
2018-Jun-07 00:28:49.382235 INFO    [Blockchain] Blockchain initialized. last block: 0, d2.h19.m55.s14 time ago, current difficulty: 1
2018-Jun-07 00:28:49.382343 INFO    [daemon] Core initialized OK
2018-Jun-07 00:28:49.382485 INFO    [daemon] Starting core rpc server on address 127.0.0.1:15716
2018-Jun-07 00:28:49.382696 INFO    [daemon] Core rpc server started ok
2018-Jun-07 00:28:49.382771 INFO    [daemon] Starting p2p net loop...
2018-Jun-07 00:28:49.382821 INFO    [node_server] Starting node_server
2018-Jun-07 00:28:49.383988 INFO    [protocol] [96.44.175.218:61658 INC] Sync data returned unknown top block: 0 -> 21 [21 blocks (0 days) behind] 
2018-Jun-07 00:28:49.383988 INFO    [protocol] SYNCHRONIZATION started
2018-Jun-07 00:28:49.543200 INFO    [protocol] 
2018-Jun-07 00:28:49.543200 INFO    [protocol] **********************************************************************
2018-Jun-07 00:28:49.543200 INFO    [protocol] You are now synchronized with the network. You may now start simplewallet.
2018-Jun-07 00:28:49.543200 INFO    [protocol] 
2018-Jun-07 00:28:49.543200 INFO    [protocol] Please note, that the blockchain will be saved only after you quit the daemon with "exit" command or if you use "save" command.
2018-Jun-07 00:28:49.543200 INFO    [protocol] Otherwise, you will possibly need to synchronize the blockchain again.
2018-Jun-07 00:28:49.543200 INFO    [protocol] 
2018-Jun-07 00:28:49.543200 INFO    [protocol] Use "help" command to see the list of available commands.
2018-Jun-07 00:28:49.543200 INFO    [protocol] **********************************************************************
2018-Jun-07 00:28:49.543795 INFO    [core] 
2018-Jun-07 00:28:49.543795 INFO    [core] **********************************************************************
2018-Jun-07 00:28:49.543795 INFO    [core] The daemon will start synchronizing with the network. It may take up to several hours.
